year,round,q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
2025,2,Q018,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,TSEB,,없음,images/2025_round2/q018.png,c
2025,2,Q019,다음은 TCP 통신 과정에서 발생할 수 있는 보안 취약점에 대한 설명이다. 이를 이용한 공...,SYN Flooding,,없음,,
2025,2,Q020,다음 테이블에서 πTTL(employee)에 대한 연산 결과 값을 작성하시오. [emplo...,TTL， 부장， 대리， 과장， 차장,프로젝션 연산,없음,images/2025_round2/Q020.png,
2024,1,Q001,다음 Java 코드에서 알맞는 출력 값을 작성하시오.,4,,없음,images/2024_round1/Q001.png,java
2024,1,Q002,다음 C언어 코드에서 알맞는 출력 값을 작성하시오.,151,,없음,images/2024_round1/Q002.png,c
2024,1,Q003,다음은 응집도와 관련해서 보기에서 응집도가 높은 순으로 나열하시오.,ㄱ， ㄴ， ㄹ， ㄷ,,없음,,
2024,1,Q004,다음은 C언어에 대한 문제이다. 알맞는 출력 값을 작성하시오.,GECA,,없음,images/2024_round1/Q004.png,c
2024,1,Q005,아래 그림에서의 네트워크에서 라우터을 통한 할당 가능한 2번， 4번， 5번의 IP를 작성하...,192.168.35.72， 129.200.8.249， 192.168.36.249,,없음,images/2024_round1/Q005.png,
2024,1,Q006,아래 표에서 나타나고 있는 정규형을 작성하시오.,제 3정규형,,없음,images/2024_round1/Q006.png,
2024,1,Q007,아래의 내용에서 설명하는 네트워크 용어를 영문 약자로 작성하시오.,OSPF,Open Shortest Path First,부족,,
2024,1,Q001,대표적인 링크 상태 라우팅 프로토콜이다. 이것은 인터넷에서 연결된 링크의 상태를 감시하여 ...,4,,없음,images/2024_round1/Q001.png,java
2024,1,Q008,아래 내용의 각각의 설명에 대한 답을 작성하시오.  (1) 조인에 참여하는 두 릴레이션의 ...,(1) 세타 조인， (2) 동등 조인， (3) 자연 조인,,없음,,
2024,1,Q009,다음은 운영체제 페이지 순서를 참고하여 할당된 프레임의 수가 3개일 때 LRU와 LFU 알...,(1) 6， (2) 6,LRU와 LFU 페이지 부재 횟수,부족,,
2024,1,Q010,아래 JAVA언어 코드의 실행 순서를 중복 번호없이 작성하시오. 실행 순서 : 5 → ( ...,6， 3， 1， 7， 2,실행 순서,없음,images/2024_round1/Q010.png,java
2024,1,Q011,다음 C언어의 알맞는 출력값을 작성하시오.,9981 and 2795.10,,없음,images/2024_round1/Q011.png,c
2024,1,Q012,다음 파이썬 코드에 대한 알맞는 출력 값을 작성하시오.,Seynaau,,없음,images/2024_round1/Q012.png,python
2024,1,Q013,아래 보기의 SQL 문장과 테이블을 참고하여   출력 값을 표로 작성하시오.,a， b,B 컬럼의 결과값,없음,images/2024_round1/Q013.png,unknown
2024,1,Q014,아래는 애플리케이션 테스트 관리에 대한 내용이다. 설명하는 답을 보기에서 골라 작성하시오.,ㄹ,변경 조건/결정 커버리지,부족,,
2024,1,Q001,모든 분기와 조건의 조합을 고려하나 모든 조합을 테스트하는 대신에 테스트가 필요한 중요한 ...,4,,없음,images/2024_round1/Q001.png,java
2024,1,Q015,다음 아래 내용을 보고    보기에서 알맞는 용어를 골라 작성하시오. 인터넷 공격자의 존재...,ㅅ,Rootkit,없음,,
2024,1,Q016,다음 Java 코드를 보고   알맞는 출력 값을 작성하시오.,9,,없음,images/2024_round1/Q016.png,java
2024,1,Q017,다음 아래 내용을 보고    보기에서 알맞는 용어를 골라 작성하시오.,ㅅ,APT,없음,,
2024,1,Q001,불특정 다수가 아닌 명확한 표적을 정하여 지속적인 정보수집 후 공격감행할 수 있다.  2....,4,,없음,images/2024_round1/Q001.png,java
2024,1,Q018,아래의 SQL 코드와 테이블을 참고하여   결과 값을 작성하시오.,1,,없음,images/2024_round1/Q018.png,unknown
2024,1,Q019,다음 C언어 코드의 알맞는 출력 값을 작성하시오.,Nd sc 1,,없음,images/2024_round1/Q019.png,c
2024,1,Q020,다음 아래의 내용을 보고   알맞는 용어를 작성하시오. 구체적인 클래스에 의존하지 않고 서...,Abstract Factory,,없음,,
2024,2,Q001,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,NNN,,없음,images/2024_round2/Q001.png,java
2024,2,Q002,다음 문제에서 설명하는 용어를 작성하시오. 데이터를 중복시켜 성능을 향상시키기 위한 기법으...,반정규화,,없음,,
2024,2,Q003,다음은 SQL에 관한 문제이다. 아래 SQL 구문의 빈칸을 작성하시오. 사원 [사원번호(P...,① VALUES， ② SELECT， ③ FROM， ④ SET,,없음,,
2024,2,Q004,다음 릴레이션의 Cardinality와 Degree를 작성하시오. Cardinality :...,① 5， ② 4,Cardinality와 Degree,부족,images/2024_round2/Q004_1.png,
2024,2,Q005,다음은 프로토콜에 대한 내용이다. 아래 내용을 읽고 알맞는 답을 작성하시오.  - Netw...,IPSec,,없음,,
2024,2,Q006,다음은 Python에 대한 문제이다. 아래 코드를 읽고 알맞는 출력 값을 작성하시오.,ab3ca3,,없음,images/2024_round2/Q006.png,python
2024,2,Q007,아래 설명하는 내용을 확인하여   알맞는 알고리즘을 작성하시오.  - 대칭키 알고리즘으로 ...,AES,,없음,,
2024,2,Q008,패킷 교환 방식 중에 연결형과 비연결형에 해당하는 방식을 작성하시오.  ① 연결형 교환 방...,① 가상회선， ② 데이터그램,,없음,,
2024,2,Q009,아래 내용을 확인하고 보기에서 알맞는 답을 고르시오. 실행 순서가 밀접한 관계를 갖는 기능...,ㅂ,순차적(sequential),부족,,
2024,2,Q010,아래는 디자인 패턴에 관한 설명이다. 아래 설명을 읽고 보기에서 알맞는 용어를 작성하시오....,Iterator,,없음,images/2024_round2/Q010.png,
2024,2,Q011,아래 그림을 바탕으로 RIP을 구성하여 최단 경로 비용을 계산하여 흐름에 맞게 작성하시오.,A → D → C → F,RIP 최단 경로,없음,images/2024_round2/Q011_1.png,
2024,2,Q012,아래의 표를 확인하여   SRT 스케줄링의 평균 대기시간을 계산하여 작성하시오.,6.5,SRT 스케줄링 평균 대기시간,부족,images/2024_round2/Q012.png,
2024,2,Q013,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,21,,없음,images/2024_round2/Q013.png,c
2024,2,Q014,다음은 Java 언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,25， 20,,없음,images/2024_round2/Q014.png,java
2024,2,Q015,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,10,,없음,images/2024_round2/Q015.png,c
2024,2,Q016,아래는 소프트웨어 설계에 대한 내용이다. 내용을 읽고 괄호안에 알맞는 답을 작성하시오.  ...,제어,Control Coupling,부족,,
2024,2,Q017,다음은 Java에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하시오.,dcba,,없음,images/2024_round2/Q017.png,java
2024,2,Q018,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하시오.,-13,,없음,images/2024_round2/Q018.png,c
2024,2,Q019,다음은 C언어의 구조체에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하...,20,,없음,images/2024_round2/Q019.png,c
2024,2,Q020,다음은 Java에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하시오.,S,,없음,images/2024_round2/Q020.png,java
2024,3,Q001,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,OOAAA,,없음,images/2024_round3/Q001.png,java
2024,3,Q002,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,3,,없음,images/2024_round3/Q002.png,python
2024,3,Q003,아래의 employee테이블과 project테이블을 참고하여   보기의 SQL명령어에 알맞...,1,,없음,"images/2024_round3/Q003_1.png, images/2024_round3/Q003_2.png",sql
2024,3,Q004,다음은 운영체제 페이지 순서를 참고하여   할당된 프레임의 수가 3개일 때  LRU 알고리...,12,LRU 페이지 부재 횟수,부족,,
2024,3,Q005,다음은 네트워크 취약점에 대한 문제이다. 아래 내용을 보고   알맞는 용어를 작성하시오. ...,스머프,Smurf 또는 Smurfing,부족,,
2024,3,Q006,다음은 GoF 디자인 패턴과 관련된 문제이다. 괄호안에 알맞는 용어를 작성하시오. (   ...,행위,행위 패턴,없음,,
2024,3,Q007,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,20,,없음,images/2024_round3/Q007.png,c
2024,3,Q008,다음은 무결성제약조건에 대한 문제이다. 아래 표에서 어떠한 (       ) 무결성을 위반...,개체,개체 무결성,없음,images/2024_round3/Q008.png,
2024,3,Q009,다음은 URL 구조에 관한 문제이다. 아래  보기의 순서대로 URL에 해당하는 번호를 작성...,43125,URL 구조,없음,images/2024_round3/Q009.png,
2024,3,Q010,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,45,,없음,images/2024_round3/Q010.png,python
2024,3,Q011,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,52,,없음,images/2024_round3/Q011.png,java
2024,3,Q012,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,312,,없음,images/2024_round3/Q012.png,c
2024,3,Q013,다음은 테스트 커버리지에 대한 문제이다. 아래 내용에 알맞는 답을 보기에서 골라 작성하시오...,1. 문장， 2. 분기， 3. 조건,테스트 커버리지,없음,,
2024,3,Q015,다음은 데이터베이스에 관한 문제이다. 아래 내용을 읽고 알맞는 답을 보기에서 찾아 골라 작...,(1) 외래키， (2) 후보키， (3) 대체키， (4) 슈퍼키,,없음,,
2024,3,Q016,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,1,,없음,images/2024_round3/Q016.png,c
2024,3,Q017,다음 아래 내용을 보고   알맞는 용어를 작성하시오.   (3글자로 작성)  - 공용 네트...,VPN,,없음,,
2024,3,Q018,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,101,,없음,images/2024_round3/Q018.png,java
2024,3,Q019,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,B0,,없음,images/2024_round3/Q019.png,java
2024,3,Q020,다음은 네트워크에 대한 문제이다. 아래 내용을 보고   알맞는 용어를 작성하시오.  - 중...,ㄹ,Ad-hoc Network,부족,,
2023,1,Q001,class Static{      public int a = 20;     static i...,1) 10 11 10 20， 2) Art A A Art Art， 3) qwe,(문제1-3 합쳐짐),부족,images/2023_round1/1.png,java
2023,1,Q002,"#include <stdio.h>  int main(){     char a[] = ""Ar...",AJAX,(문제1-3 합쳐짐),부족,images/2023_round1/2.png,c
2023,1,Q003,"#include <stdio.h>  int main(){      char* a = ""qw...",가상회선， 데이터그램,(문제1-3 합쳐짐),부족,images/2023_round1/3.png,c
2023,1,Q004,다음 괄호안에 들어가는 용어의 Full Name 또는 약자를 작성하시오. (   )은/는 ...,L2TP,,없음,,
2023,1,Q005,아래 내용을 확인하여   괄호 안에 용어를 표안에 알맞는 값을 고르시오. (보기가 있습니다...,SSH,,없음,images/2023_round1/5.png,
2023,1,Q006,아래 내용을 확인하여   알맞는 답을 작성하시오.,1. 웜， 2. 트로이 목마， 3. 바이러스,,없음,,
2023,1,Q007,아래 내용에서 괄호안에 알맞는 용어를 작성하시오. ​ (    )  네트워크 상의 다른 컴...,(a) %， (b) 10,(또는 (a) & (b) 1),부족,,
2023,1,Q008,아래 설명에 대한 알맞는 답을 작성하시오. (보기가 있습니다. ex: 랜섬웨어， 스파이웨어...,ICMP,,없음,images/2023_round1/8.png,
2023,1,Q009,다음 아래 코드에서 이진수를 십진수로 변환하는 코드에 대해 괄호 (a) (b)의 적합한 답...,proxy,(또는 (a) & (b) 1),부족,images/2023_round1/9.png,c
2023,1,Q010,다음 보안 관련 설명으로 괄호안에 알맞는 용어를  작성하시오. (    )은/는 TCP/I...,1. 튜플， 2. 릴레이션 인스턴스， 3. 카디널리티,,없음,,
2023,1,Q011,다음은 디자인 패턴에 관한 설명이다. 설명에 내용에 알맞는 답을 고르시오. (생성/구조/행...,delete from 학생 where 이름 = '민수',,없음,,
2023,1,Q012,다음은 데이터베이스에 관련된 내용이다. 각 괄호안에 알맞는 답을 작성하시오. (보기가 있습...,idx2， nx,,없음,images/2023_round1/12.png,
2023,1,Q013,[학생] 테이블에서 학생 이름이 '민수'인 튜플을 삭제하는 쿼리를 작성하시오. 조건  - ...,{'한국' '중국' '베트남' '홍콩' '태국'},,없음,images/2023_round1/13.png,
2023,1,Q014,다음 코드에서 괄호안에 알맞는 값을 변수명으로 작성하시오. (코드가 해깔려 시험문제와 동일...,SELECT 과목이름 MIN(점수) AS 최소점수 MAX(점수) AS 최대점수 FROM 성적 GROUP BY 과목이름 HAVING AVG(점수) >= 90,,없음,images/2023_round1/14.png,
2023,1,Q015,다음 파이썬 코드의 알맞는 출력값을 작성하시오.,Vehicle name: Spark,,없음,images/2023_round1/15.png,
2023,1,Q016,다음 성적 테이블에서 과목별 점수의 평균이 90점 이상인 '과목이름'， '최소점수'， '최...,1. 외부， 2. 개념， 3. 내부,,없음,images/2023_round1/16.png,
2023,1,Q017,다음 JAVA 코드에서 알맞는 출력 값을 작성하시오.,1234561 124567,또는 1234567 124561,부족,images/2023_round1/17.png,
2023,1,Q018,다음은 스키마와 관련된 내용이다. 각 괄호안에 알맞는 답을 작성하시오. (보기가 있습니다....,500,,없음,images/2023_round1/18.png,
2023,1,Q019,다음 아래 제어 흐름 그래프가 분기 커버리지를 만족하기 위한 테스팅 순서를 쓰시오.,1234561 124567,또는 1234567 124561,부족,images/2023_round1/19.png,
2023,1,Q020,다음 자바 코드에 대한 출력 값을 작성하시오.,500,,없음,images/2023_round1/20.png,
2023,2,Q001,다음은 C언어 코드의 문제이다. 보기의 조건에 맞도록 괄호안에 알맞은 코드를 작성하시오. ...,n[(i+1) % 5],,없음,images/2023_round2/1.png,
2023,2,Q002,다음은 JAVA 코드 문제이다. 가지고 있는 돈이 총 4620원일 경우 1000원， 500...,a = m / 1000， b = (m % 1000) / 500， c = (m % 500) / 100,d = (m % 100) / 10,부족,images/2023_round2/2.png,
2023,2,Q003,다음은 c언어의 코드이다. 보기의 조건에 맞추어 알맞은 출력값을 작성하시오. 입력값은 홍길...,박영희， 박영희， 박영희,,없음,images/2023_round2/3.png,
2023,2,Q004,다음은 테이블에 데이터를 삽입하기 위한 과정이다. 보기의 조건식에 맞게 데이터 삽입을 위한...,INSERT INTO 학생(학번 이름 학년 전공 전화번호) VALUES(9830287 '뉴진스' 3 '경영학개론' '010-1234-1234'),,없음,images/2023_round2/4.png,
2023,2,Q005,다음은 C언어의 문제이다. 알맞은 출력값을 작성하시오.,BCD,,없음,images/2023_round2/5.png,c
2023,2,Q006,다음은 테스트 커버리지에 대한 내용이다. 내용을 보고   보기에 알맞는 기호를 고르시오. ...,ㅇ,조건 커버리지,없음,,
2023,2,Q007,다음은 소스코드의 알맞은 출력을 작성하시오.,505,,없음,images/2023_round2/7.png,
2023,2,Q008,다음 내용에 알맞는 답을 작성하시오.,템퍼프루핑,,없음,,
2023,2,Q009,다음은 C언어 문제이다. 알맞은 출력값을 작성하시오.,213465,,없음,images/2023_round2/9.png,c
2023,2,Q010,데이터베이스 설계 순서에 관한 내용이다. 보기를 이용하여 괄호안에 알맞은 내용을 작성하시오...,요구조건 분석， 개념적 설계， 논리적 설계,물리적 설계 구현,없음,images/2023_round2/10.png,
2023,2,Q011,다음은 디자인 패턴에 관한 문제이다. 보기에서 알맞는 답을 작성하시오.,1. Singleton， 2. Visitor,,없음,images/2023_round2/11.png,
2023,2,Q012,다음 내용에서 설명하는 문제에 대해 보기에 알맞는 답을 골라 작성하시오.  (1) Code...,1. hamming， 2. FEC， 3. BEC,4. parity 5. CRC,부족,images/2023_round2/12.png,
2023,2,Q013,다음은 HDLC 프로토콜에 대한 설명이다. 보기 안에 알맞는 답을 골라 작성하시오.  (1...,1. ㄷ， 2. ㄴ， 3. ㅂ,4. ㅊ 5. ㅋ,없음,images/2023_round2/13.png,
2023,2,Q014,다음은 자바에 대한 문제이다. 알맞은 출력값을 작성하시오.,true， false， true,true,없음,images/2023_round2/14.png,
2023,2,Q015,다음 보기는 암호화 알고리즘에 대한 내용이다. 대칭키와 비대칭키에 해당하는 보기의 내용을 ...,대칭키: DES AES ARIA SEED， 비대칭키: RSA ECC,,없음,images/2023_round2/15.png,
2023,2,Q016,다음 괄호안에 알맞는 답을 작성하시오.,해시,또는 해싱 hash,부족,,
2023,2,Q017,다음 보기의 SQL문에서 괄호안에 알맞는 단어를 작성하시오. DROP VIEW 학생 (  ...,cascade,,없음,images/2023_round2/17.png,
2023,2,Q018,다음 코드는 선택정렬 구현에 관한 문제이다. 오름차순으로 정렬할 경우 빈칸에 알맞는 연산자...,>,,없음,images/2023_round2/18.png,
2023,2,Q019,다음 파이썬 코드에서 알맞는 출력값을 작성하시오.,engneing,,없음,images/2023_round2/19.png,
2023,2,Q020,다음 설명에 대한 알맞는 답을 작성하시오.,1. 스텁， 2. 드라이버,,없음,,
2023,3,Q001,다음은 Java 코드이다. 올바른 출력 결과를 작성하시오.,BDCDD,,없음,images/2023_round3/1.png,java
2023,3,Q002,다음 설명하는 용어를 보기에 맞게 골라 기호를 작성하시오.,ㅇ,OAuth,없음,images/2023_round3/2.png,
2023,3,Q003,리눅스(Linux)에서 사용자에게 읽기/쓰기/실행 권한을 부여하고， 그룹에게는 읽기/실행을...,(1) chmod， (2) 751,,없음,,
2023,3,Q004,다음은 C 언어 코드이다. 알맞는 출력 결과를 작성하시오.,34,,없음,images/2023_round3/4.png,c
2023,3,Q005,C언어에서 구조체의 멤버에 접근하기 위해 괄호안의 기호를 작성하시오.,→,,없음,images/2023_round3/5.png,c
2023,3,Q006,다음 빈칸에 들어갈 UNION 연산의 결과값을 작성하시오.,4， 3， 2， 1,,없음,images/2023_round3/6.png,
2023,3,Q007,다음 설명은 서버 접근 통제의 유형이다. 괄호 안에 들어갈 용어를 작성하시오.   (영어 ...,(1) MAC， (2) RBAC， (3) DAC,,없음,,
2023,3,Q008,다음 C언어 코드에 알맞는 출력값을 작성하시오.,5040,,없음,images/2023_round3/8.png,c
2023,3,Q009,다음 설명에 대해 괄호 안에 알맞는 용어를 작성하시오.   (영어 약자로 작성하시오.  ),ATM,,없음,,
2023,3,Q010,다음은 C언어의 포인터 문제이다. 알맞는 출력값을 작성하시오.,KOREA， OREA， K， E， O,,없음,images/2023_round3/10.png,c
2023,3,Q011,다음은 Java 코드에 대한 알맞는 출력값을 작성하시오.,2,,없음,images/2023_round3/11.png,java
2023,3,Q012,IP 패킷에서 외부의 공인 IP주소와 포트 주소에 해당하는 내부 IP주소를 재기록하여 라우...,NAT,,없음,,
2023,3,Q013,다음 자바 코드를 실행할 경우 에러가 발생이 된다. 에러가 발생하는 라인명을 작성하시오.,7,,없음,images/2023_round3/13.png,java
2023,3,Q014,다음은 파이썬에 대한 문제이다. 밑줄친 부분에 알맞는 답을 작성하시오. 입력값은 2와 3이...,split,,없음,images/2023_round3/14.png,python
2023,3,Q015,다음은 판매와 관련된 다이어그램이다. 해당 다이어그램의 명칭을 쓰시오.,패키지,,없음,images/2023_round3/15.png,
2023,3,Q016,다음 설명에 알맞는 답을 보기에서 골라 작성하시오.,ㄱ,Equivalence Partitioning,부족,images/2023_round3/16.png,
2023,3,Q017,다음은 클라우드에 대한 유형 문제이다. 괄호안에 알맞는 답을 보기에 골라 작성하시오.,(1) IaaS， (2) PaaS， (3) SaaS,,없음,images/2023_round3/17.png,
2023,3,Q018,다음은 프로토콜 종류에 관한 설명이다. 알맞는 답을 작성하시오.,RIP,,없음,,
2023,3,Q019,다음은 관계 대수에 대한 내용이다. 보기에 알맞는 기호를 작성하시오.  1. join : ...,(1) ㄷ， (2) ㄴ， (3) ㄱ， (4) ㄹ,,없음,images/2023_round3/19.png,
2023,3,Q020,다음은 데이터베이스에 관련된 문제이다. 괄호 안에 알맞는 답을 작성하시오.,참조,,없음,,
2022,1,Q001,아래 설명에 맞는 RAID 단계를 숫자로 작성하시오.  - Striping(스트라이핑) 구...,RAID 0,,없음,,
2022,1,Q002,다음 설명을 확인하여   해당하는 항목을 보기에서 찾아 적으시오. (실제 기출문제에서는 답...,1) redo， 2) undo,,없음,,
2022,1,Q003,다음 자바 문법에 알맞는 출력 결과를 작성하시오.,2000,,없음,images/2022_round1/3.png,java
2022,1,Q004,다음 SQL 결과에 알맞는 쿼리을 작성하시오. SELECT name， score FROM ...,1) ORDER， 2) score， 3) DESC,,없음,images/2022_round1/4.png,
2022,1,Q006,다음은 파이썬 코드에서 출력되는 a와 b의 값을 작성하시오.,a= 20 b= 2,,없음,images/2022_round1/6.png,python
2022,1,Q007,다음 설명과 관련된 답을 보기에서 골라 작성하시오.  (실제 기출문제에서는 답의 보기가 주...,1) extend， 2) pop， 3) reverse,,없음,,
2022,1,Q008,다음 아래 단어를 영어 약자로 작성하시오. 임시 키 무결성 프로토콜,TKIP,,없음,,
2022,1,Q009,다음 중， 설명에 대한 답을 영어 약자로 작성하시오. 키보드나 마우스와 같은 장치 없이 말...,NUI,,없음,,
2022,1,Q010,다음은 분석도구에 대한 설명으로 보기에 알맞는 답을 작성하시오. (실제 기출문제에서는 답의...,1) static， 2) dynamic,,없음,,
2022,1,Q011,다음 Java 코드 중에서 밑줄에 들어갈 알맞는 코드를 작성하시오.,Car,,없음,images/2022_round1/11.png,java
2022,1,Q012,다음 설명에 대한 알맞는 단어를 작성하시오. 자바 프로그래밍 언어를 이용한 xUnit의 테...,JUnit,,없음,,
