문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q014,"다음 설명에 대해 보기에 주어진 답을 골라 작성하시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, ARP, RARP 등..))",1. IGP / 2. EGP / 3. OSPF / 4. BGP,,,(문제14는 소문제 1-4로 분리됨)
Q001,"라우터로 상호 접속이 되어있는 여러 개의 네트워크 집합으로 도메인 혹은 자율시스템(Autonomous System, AS)이라고 한다. 같은 도메인 내에 존재하는 라우터는 도메인 ",IGP,,,(문제14-1)
Q002,"시스템 사이에 경로 설정 정보 등을 교환하기 위해 사용하는 프로토콜로써, 다른 도메인 사이에 라우팅 시 정리된 관리가 거의 없고 많은 경우에 신용도가 매우 낮아 빠른 수행보다는 보",EGP,,,(문제14-2)
Q003,IP 라우팅 프로토콜의 한 종류로써 RIP(routing information protocol)보다 규모가 큰 네트워크에서도 사용할 수 있다. 규모가 크고 복잡한 TCP/IP 네트,OSPF,,,(문제14-3)
Q004,"서로 다른 자율 시스템(AS)의 라우터 간에 라우팅 정보를 교환하는 데 사용되는 외부 게이트웨이 프로토콜(EGP)이다. 각 목적지에 대한 전체 경로가 포함되며, 다른 시스템과 교환",BGP,,,(문제14-4)
Q015,다음 C언어에서 출력에 대한 알맞은 답을 작성하시오.,10,,,
Q016,다음 C언어 코드에서 알맞는 출력값을 작성하시오.,22,,,
Q017,다음 자바코드에서 알맞는 출력값을 작성하시오.,61,,,
Q018,"다음은 함수 종속성에 대한 설명이다. 해당 문제에 대한 알맞는 답을 보기에서 골라 작성하시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, union 등..))",1. Full,2. Partial,3. Transitive,(문제18은 소문제 1-3으로 분리됨)
Q001,"성적은 {학생,학과}에 대해서 ( ) Functional Dependency이다.",Full,,,(문제18-1)
Q002,"성적은 학과만 알아도 식별이 가능하므로, 이 경우에는 성적 속성은 기본키에 ( ) Functional Dependency이다.",Partial,,,(문제18-2)
Q003,"릴레이션에서 X, Y, Z라는 3 개의 속성이 있을 때 X→Y, Y→Z 이란 종속 관계가 있을 경우, X→Z가 성립될 경우",Transitive,,,(문제18-3)
Q019,"다음 설명에 대한 알맞는 답을 보기에서 고르시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, ajax, 등..))",1. HTTP,2. Hypertext,3. HTML,(문제19는 소문제 1-3으로 분리됨)
Q001,"인터넷에서, 웹 서버와 사용자의 인터넷 브라우저 사이에 문서를 전송하기 위해 사용되는 통신 규약을 말한다. 인터넷에서 하이퍼텍스트(hypertext) 문서를 교환하기 위하여 사용되",HTTP,,,(문제19-1)
Q002,"문자, 그래픽, 음성 및 영상을 하나의 연상 거미집(Web of Association)과 같이 서로 연결시켜, 제시된 순서에 관계없이 이용자가 관련된 정보를 검색할 수 있도록 하는",Hypertext,,,(문제19-2)
Q003,"웹 페이지 표시를 위해 개발된 지배적인 마크업 언어다. 또한, 제목, 단락, 목록 등과 같은 본문을 위한 구조적 의미를 나타내는 것뿐만 아니라 링크, 인용과 그 밖의 항목으로 구조",HTML,,,(문제19-3)
Q020,다음 모듈 F에 대한 Fan-in과 Fan-out을 작성하시오.,Fan-in : 3,Fan-out : 2,,
